xc_id,scientific_name,common_name_id,common_name_en,country,location,quality,sound_type,recordist,date,duration,xc_url,license_type,license_url,file_available,selection_status,selection_reason
XC211898,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Germany,"Dahme-Spreewald (near  Heidesee), Brandenburg",A,call,Sonnenburg,2015-02-01,0:12,https://xeno-canto.org/211898,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC210487,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,Praga północ przy m. Północnym,A,"call, song",Jarek Matusiak,2011-02-06,1:14,https://xeno-canto.org/210487,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC187047,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2014-04-20,1:38,https://xeno-canto.org/187047,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC182234,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-05,1:05,https://xeno-canto.org/182234,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC182228,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-05,1:13,https://xeno-canto.org/182228,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC182225,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-05,1:10,https://xeno-canto.org/182225,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC182195,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2013-12-12,2:02,https://xeno-canto.org/182195,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC181536,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-29,1:00,https://xeno-canto.org/181536,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC181535,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-29,0:52,https://xeno-canto.org/181535,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC181274,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-13,2:16,https://xeno-canto.org/181274,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC179902,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-05-26,4:15,https://xeno-canto.org/179902,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC179684,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Germany,"Naturpark Stromberg-Heuchelberg, Baden-Württemberg",A,"alarm call, call",Frank Holzapfel,2014-05-26,1:30,https://xeno-canto.org/179684,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC177402,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Weaverthorpe), North Yorkshire, England",A,call,david m,2014-03-08,2:23,https://xeno-canto.org/177402,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC174233,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Italy,"Palazzolo sull'Oglio, Brescia, Lombardy",A,song,Francesco Sottile,2014-04-10,0:31,https://xeno-canto.org/174233,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC172673,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2009-04-20,2:54,https://xeno-canto.org/172673,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC170674,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Italy,"Cavallino-Treporti, Venezia, Veneto",A,call,maudoc,2012-04-22,1:26,https://xeno-canto.org/170674,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC170192,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Taiwan,"Heping District, Taichung City",A,"call, song",Albert Lastukhin &amp; Eugeniy Jurchenco,2011-04-02,0:14,https://xeno-canto.org/170192,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC168777,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Japan,"Akan International Crane Center, Hokkaido",A,call,Andrew Spencer,2013-12-29,0:41,https://xeno-canto.org/168777,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC168776,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Japan,"Arasaki Crane Center, Kagoshima Prefecture",A,call,Andrew Spencer,2013-12-21,0:42,https://xeno-canto.org/168776,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC168775,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Japan,"Arasaki Crane Center, Kagoshima Prefecture",A,call,Andrew Spencer,2013-12-21,0:13,https://xeno-canto.org/168775,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC168216,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-14,2:13,https://xeno-canto.org/168216,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC168215,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-14,3:22,https://xeno-canto.org/168215,https://creativecommons.org/licenses/by-nc-nd/3.0/,https://creativecommons.org/licenses/by-nc-nd/3.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC168213,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-14,3:42,https://xeno-canto.org/168213,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC168212,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-14,2:36,https://xeno-canto.org/168212,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC168210,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-11,0:47,https://xeno-canto.org/168210,https://creativecommons.org/licenses/by-nc-nd/3.0/,https://creativecommons.org/licenses/by-nc-nd/3.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC168000,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,"call, flight call",david m,2014-02-10,3:12,https://xeno-canto.org/168000,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC164536,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,"call, flight call",david m,2014-01-11,1:35,https://xeno-canto.org/164536,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC164535,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-11,2:00,https://xeno-canto.org/164535,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC164534,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-11,3:00,https://xeno-canto.org/164534,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC164533,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-11,4:10,https://xeno-canto.org/164533,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC164532,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-11,4:10,https://xeno-canto.org/164532,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC164530,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-11,2:00,https://xeno-canto.org/164530,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC164529,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-11,2:00,https://xeno-canto.org/164529,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC164528,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  West Lutton), North Yorkshire, England",A,call,david m,2014-01-11,4:10,https://xeno-canto.org/164528,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC162524,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Mongolia,Erdenesant,A,call,Patrick Franke,2013-05-23,1:52,https://xeno-canto.org/162524,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC162523,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Mongolia,Erdenesant,A,"begging call, call, begging call (ad f), excitement call (ad m)",Patrick Franke,2013-05-23,0:49,https://xeno-canto.org/162523,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC162515,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Mongolia,Erdenesant,A,call,Patrick Franke,2013-05-23,0:04,https://xeno-canto.org/162515,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC149877,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Warszawa (near  Warsaw), Warszawa, Masovian Voivodeship",A,flight call,Jarek Matusiak,2011-02-21,0:03,https://xeno-canto.org/149877,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC146271,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-13,3:30,https://xeno-canto.org/146271,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC145424,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",A,call,david m,2013-06-25,4:10,https://xeno-canto.org/145424,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC143465,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Germany,"Augsburg, Siebentischwald, near Alte Schiessheide",A,song,Buhl Johannes,2013-07-26,3:04,https://xeno-canto.org/143465,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC121328,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Warszawa (near  Warsaw), Warszawa, Masovian Voivodeship",A,call,Jarek Matusiak,2013-02-08,1:39,https://xeno-canto.org/121328,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC121319,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Warszawa (near  Warsaw), Warszawa, Masovian Voivodeship",A,call,Jarek Matusiak,2013-02-08,1:50,https://xeno-canto.org/121319,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC112696,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Sweden,"Källedalen, Fröstorp, Tibro, Västergötland",A,alarm call,Patrik Åberg,2011-07-02,0:40,https://xeno-canto.org/112696,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC112695,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Sweden,"Källedalen, Fröstorp, Tibro, Västergötland",A,alarm call,Patrik Åberg,2011-10-20,1:36,https://xeno-canto.org/112695,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC112694,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Sweden,"Källedalen, Fröstorp, Tibro, Västergötland",A,call,Patrik Åberg,2011-03-19,0:19,https://xeno-canto.org/112694,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC107273,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Sweden,"Källedalen, Fröstorp, Tibro, Västergötland",A,begging call,Patrik Åberg,2012-07-08,0:29,https://xeno-canto.org/107273,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC92890,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Germany,"Heide-Ruesdorf, Dithmarschen, Schleswig-Holstein",A,call,Volker Arnold,2012-01-15,1:31,https://xeno-canto.org/92890,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC90122,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Germany,"Heide-Ruesdorf, Dithmarschen, Schleswig-Holstein",A,"call, song",Volker Arnold,2011-11-13,1:56,https://xeno-canto.org/90122,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC90121,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Germany,"Heide-Ruesdorf, Dithmarschen, Schleswig-Holstein",A,"call, song",Volker Arnold,2011-11-13,1:29,https://xeno-canto.org/90121,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC89937,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Germany,"Heide-Ruesdorf, Dithmarschen, Schleswig-Holstein",A,call,Volker Arnold,2011-11-06,1:18,https://xeno-canto.org/89937,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC45862,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,EC Siekierki Vistula River Warsaw,A,"call, call on evenign gathering",Jarek Matusiak,2010-03-04,0:41,https://xeno-canto.org/45862,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC43764,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Middle Vistula, Młociny, Warsaw",A,song,Jarek Matusiak,2010-01-31,0:52,https://xeno-canto.org/43764,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC42429,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Sweden,"Källedalen, Fröstorp, Tibro, Västergötland",A,call,Patrik Åberg,2009-09-20,0:52,https://xeno-canto.org/42429,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC42213,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,Krowie Bagno,A,call,Jarek Matusiak,2009-12-26,0:22,https://xeno-canto.org/42213,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC29162,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Sweden,"Källedalen, Fröstorp, Tibro, Västergötland",A,call,Patrik Åberg,2009-01-30,0:47,https://xeno-canto.org/29162,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1101018,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Romania,"Rucăr, Vistea, Brașov",B,call,Catalin Ionescu,2026-03-17,0:29,https://xeno-canto.org/1101018,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1098546,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Finland,"Ruotila, Sippola, Kymenlaakso",B,call,Eetu Paljakka,2026-04-11,1:22,https://xeno-canto.org/1098546,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1094308,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Finland,"Säräisniemi, Vaala, Kainuu",B,"call, song",Hannu Varkki,2024-07-03,0:25,https://xeno-canto.org/1094308,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1093647,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Romania,"Rucăr, Vistea, Brașov",B,,Catalin Ionescu,2026-03-17,2:40,https://xeno-canto.org/1093647,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1091658,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Gmina Wińsko (near  Krzelów), Wołów County, Lower Silesian Voivodeship",B,call,Grzegorz Michalski,2026-03-20,1:13,https://xeno-canto.org/1091658,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1090357,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Czech Republic,"Horní Těšice, Přerov, Olomoucký kraj",B,song,Marketa Rusarova,2026-03-15,0:30,https://xeno-canto.org/1090357,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1089945,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Gmina Wińsko (near  Krzelów), Wołów County, Lower Silesian Voivodeship",B,call,Grzegorz Michalski,2026-03-06,0:33,https://xeno-canto.org/1089945,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1087538,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Finland,"Östersundom, Helsinki, Uusimaa",B,call,Hannu Varkki,2024-03-24,0:55,https://xeno-canto.org/1087538,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1085918,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Sweden,"Påarp, Halmstad Municipality, Hallands län",B,call,Petter Westberg,2025-03-15,0:32,https://xeno-canto.org/1085918,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1082503,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Thailand,"Sam Sen Nai (near  Bangkok), Phaya Thai, Krung Thep Maha Nakhon",B,flight call,Sam Hambly,2026-02-22,0:04,https://xeno-canto.org/1082503,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1080619,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Singapore,,B,call,Joan Theng,2026-02-15,0:19,https://xeno-canto.org/1080619,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1077467,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Foulshaw Moss, Cumbria, England",B,call,Andrew McCafferty,2026-01-31,0:30,https://xeno-canto.org/1077467,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1076362,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Indonesia,"Kotamobagu urban areas, Kota Kotamobagu, Sulawesi Utara",B,call,Richard E. Webster,2025-11-24,1:43,https://xeno-canto.org/1076362,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1075657,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Spain,"Aljarafe (near  Choza de Huerta Tejada), Sevilla, Andalucía",B,call,Esperanza Poveda,2025-05-23,0:55,https://xeno-canto.org/1075657,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1075655,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Spain,"Aljarafe (near  Choza de Huerta Tejada), Sevilla, Andalucía",B,call,Esperanza Poveda,2025-05-23,0:34,https://xeno-canto.org/1075655,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1075051,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Głogów, Lower Silesian Voivodeship",B,"call, flight call",Romuald Mikusek,2025-06-08,0:04,https://xeno-canto.org/1075051,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1072749,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Hungary,"Királyréti Educational Trail (near  Szokolya), Vác District, Pest County",B,call,András Schmidt,2005-01-02,0:26,https://xeno-canto.org/1072749,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1069677,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Hungary,"Hajdúszoboszló, Hajdúszoboszló District, Hajdú-Bihar",B,call,András Schmidt,2005-05-07,0:56,https://xeno-canto.org/1069677,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1069676,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Hungary,"Hajdúszoboszló, Hajdúszoboszló District, Hajdú-Bihar",B,call,András Schmidt,2005-05-07,0:30,https://xeno-canto.org/1069676,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1059558,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Norway,Straumsbukta SNI,B,"call, subsong",Stein Ø. Nilsen,2025-11-10,1:23,https://xeno-canto.org/1059558,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1053987,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Gmina Wińsko (near  Krzelów), Wołów County, Lower Silesian Voivodeship",B,"call, call of a perching bird",Grzegorz Michalski,2025-10-22,0:20,https://xeno-canto.org/1053987,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1050137,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Ukraine,"Ivankiv, Andrushivs'kyi district, Zhytomyr Oblast",B,call,Rostyslav Romanyshyn,2025-02-25,0:18,https://xeno-canto.org/1050137,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1049176,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Gmina Osiek (near  Osiek), Powiat oświęcimski, Małopolskie",B,call,Karol Łanocha,2025-10-19,0:16,https://xeno-canto.org/1049176,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1049063,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Singapore,Balestier Road,B,call,Joan Theng,2025-10-21,0:18,https://xeno-canto.org/1049063,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1048487,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Sweden,"Bredvik, Nordmaling Municipality, Västerbottens län",B,call,Urban Lundström,2025-10-18,0:05,https://xeno-canto.org/1048487,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1047311,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Netherlands,"Rekken, Berkelland, Gelderland",B,flight call,Bart ter Beek,2024-11-15,0:04,https://xeno-canto.org/1047311,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1047147,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,China,"Liaohe Park, Siping, Jilin",B,call,Dave Guo,2025-08-09,0:37,https://xeno-canto.org/1047147,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1046639,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Mongolia,"Boro Khundein Khural, Lün, Töv",B,call,Manuel Oudard,2025-05-25,0:38,https://xeno-canto.org/1046639,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1046637,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Mongolia,"Boro Khundein Khural, Lün, Töv",B,call,Manuel Oudard,2025-05-25,0:40,https://xeno-canto.org/1046637,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1044213,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Taiwan,"中油新村[樂活巴], Luzhu District, Taoyuan City",B,call,Lars Lachmann,2025-04-30,0:09,https://xeno-canto.org/1044213,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1041781,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Spurn Bird Observatory, Kilnsea",B,call,David Darrell-Lambert,2025-09-20,0:25,https://xeno-canto.org/1041781,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1041780,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,United Kingdom,"Spurn Bird Observatory, Kilnsea",B,call,David Darrell-Lambert,2025-09-20,0:25,https://xeno-canto.org/1041780,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1036440,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Estonia,"Tartu, Tartu City, Tartu maakond",B,call,Uku Paal,2025-09-07,0:38,https://xeno-canto.org/1036440,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1029115,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Poland,"Odra river near  Glogow, Głogów County, Lower Silesian Voivodeship",B,call,Romuald Mikusek,2025-08-14,0:14,https://xeno-canto.org/1029115,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1028483,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Romania,"Coșeni, Sfantu Gheorghe, Covasna County",B,,Catalin Ionescu,2025-06-07,2:10,https://xeno-canto.org/1028483,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1027900,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Mongolia,"Mongolica Resort, Khan-Uul District, Ulaanbaatar",B,call,Richard E. Webster,2025-05-22,2:59,https://xeno-canto.org/1027900,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1027899,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Mongolia,"Bogd Kahn, Nalaikh District, Ulaanbaatar",B,call,Richard E. Webster,2025-06-11,0:35,https://xeno-canto.org/1027899,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1027563,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Finland,"Uutela, Helsinki, Uusimaa",B,,Miika Silfverberg,2025-06-21,0:18,https://xeno-canto.org/1027563,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC1026025,Passer montanus,Burung Gereja Erasia,Eurasian Tree Sparrow,Taiwan,"Parking Lot [Chungli Bus], Fuxing District, Taoyuan City",B,call,Jerome Chie-Jen Ko,2025-01-03,0:19,https://xeno-canto.org/1026025,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
